"% GC","PE1.R1","PE1.R2","PE2.R1","PE2.R2","PE3.R1","PE3.R2","PE1.R1.clean","PE1.R2.clean","PE2.R1.clean","PE2.R2.clean","PE3.R1.clean","PE3.R2.clean"
38,2.3832405727055157,2.3043946765684113,0.6662287612857678,0.6768552989686969,0.9963267415388579,1.0237948347085615,7.338368424239299,7.297732458215641,0.6669790561999731,0.6768338636367724,1.1108092688536242,1.107344157800315
39,2.948201781190664,2.524338419483797,0.8110650562423352,0.8030147185989569,1.2107320600819074,1.2347853531823472,6.284183640289996,6.293666773415365,0.8026218798725232,0.8054376936926566,1.3330557073773552,1.3231895046968356
40,6.082780112992241,2.1070750514290513,1.0112157151019132,0.9929820409426457,1.4615906279921846,1.4771821458282466,5.412199481092621,5.33204200653568,0.9886854703243644,0.989440096695691,1.584779932323739,1.5605237304585928
41,9.22668893543767,2.339846902361771,1.2527611693165401,1.2535840744213143,1.7256710641276127,1.752398650306825,5.445275902201431,5.296803855364011,1.227818744650786,1.2327981135706718,1.848825336291356,1.8277268242104623
42,8.646332417390168,3.3896526148348904,1.5620849148267968,1.5858220842701232,2.0676394775189446,2.0922449801217855,5.159697446051797,5.087812807849021,1.5328095784842166,1.5454942793778812,2.1671177618536013,2.1444958021913
43,10.35008000895727,5.605649965247489,1.7868904957549865,1.7839815767196732,2.3540977704391923,2.357722743796251,4.414300674758991,4.38471196135771,1.7639961015247716,1.7482926267736985,2.4517313582605538,2.413140469635069
44,14.143157717948599,6.167054619751554,2.0044178709064644,1.9849628166501307,2.632765713771383,2.6182457095177476,3.326927346239491,3.3594812234952034,1.9783757023055626,1.9497419829451537,2.733765119700818,2.683374909935326
45,11.969386660197527,4.5031323907395056,2.3429454170957773,2.3708140286361856,2.9906407174570564,2.975876502204652,2.61718583566737,2.689845539437364,2.3099470490606846,2.3149588737542066,3.079195153519212,3.020042993924912
46,8.363385288615403,9.051979493686238,2.8349521276015035,2.8861015282948452,3.430873062305726,3.4144149517474123,2.3839690359849035,2.430656748272167,2.788304939682331,2.8125567700473586,3.48761263340954,3.4131345416684855
47,6.242798027534278,13.576569810563829,3.4486868297227367,3.4860414523807357,3.970936719704153,3.9190587934150583,2.083702406393728,2.0740643883022636,3.3865034933735965,3.3954109117202154,3.9710708866751805,3.8599415502494865
48,3.4212576568338844,10.594384554024995,4.118099806035816,4.0963581252673835,4.5283501994919195,4.45875899552111,1.7637020475986518,1.7551480390190495,4.062068694641058,3.996341535799529,4.469571128517087,4.336765625985187
49,2.4436554996244477,8.330573346456877,4.806891005229391,4.815903732898845,5.062128813895997,4.983532674640319,1.4268831695957052,1.4818861497444127,4.727951647215394,4.686575378931635,4.927738540633881,4.784461829553716
